district_id,id,pcode,population,mosques,mosquedens
Aladağ,1,TUR001001,16653,68,4.08
Ceyhan,2,TUR001002,160474,147,.91
Çukurova,3,TUR001003,365735,86,.23
Feke,4,TUR001004,17555,70,3.98
İmamoğlu,5,TUR001005,28239,46,1.62
Karaisalı,6,TUR001006,22308,123,5.51
Karataş,7,TUR001007,24559,42,1.71
Kozan,8,TUR001008,130495,219,1.67
Pozantı,9,TUR001009,20683,77,3.72
Saimbeyli,10,TUR001010,15338,45,2.93
Sarıçam,11,TUR001011,173154,113,.65
Seyhan,12,TUR001012,793480,222,.27
Tufanbeyli,13,TUR001013,17667,38,2.15
Yumurtalık,14,TUR001014,18587,28,1.5
Yüreğir,15,TUR001015,415198,154,.37
Merkez2,16,TUR002001,304615,199,.65
Besni,17,TUR002002,77301,118,1.52
Çelikhan,18,TUR002003,16065,23,1.43
Gerger,19,TUR002004,19035,84,4.41
Gölbaşı,20,TUR002005,49255,53,1.07
Kahta,21,TUR002006,122774,209,1.7
Samsat,22,TUR002007,7893,27,3.42
Sincik,23,TUR002008,17414,58,3.33
Tut,24,TUR002009,10161,20,1.96
Merkez3,25,TUR003001,299673,268,.89
Başmakçı,26,TUR003002,10031,30,2.99
BayatA,27,TUR003003,7813,26,3.32
Bolvadin,28,TUR003004,43398,84,1.93
Çay,29,TUR003005,31412,67,2.13
Çobanlar,30,TUR003006,14503,15,1.03
Dazkırı,31,TUR003007,11173,30,2.68
Dinar,32,TUR003008,47304,103,2.17
Emirdağ,33,TUR003009,37817,130,3.43
Evciler,34,TUR003010,7574,14,1.84
Hocalar,35,TUR003011,9597,27,2.81
İhsaniye,36,TUR003012,28603,66,2.3
İscehisar,37,TUR003013,24534,34,1.38
Kızılören,38,TUR003014,2463,8,3.24
Sandıklı,39,TUR003015,56182,115,2.04
Sincanlı,40,TUR003016,41468,71,1.71
Sultandağı,41,TUR003017,15076,30,1.98
Şuhut,42,TUR003018,36947,89,2.4
Merkez4,43,TUR004001,149188,189,1.26
Diyadin,44,TUR004002,42123,84,1.99
Doğubeyazıt,45,TUR004003,121263,170,1.4
Eleşkirt,46,TUR004004,34180,83,2.42
Hamur,47,TUR004005,19115,64,3.34
Patnos,48,TUR004006,122833,210,1.7
Taşlıçay,49,TUR004007,20450,47,2.29
Tutak,50,TUR004008,30505,90,2.95
Merkez5,51,TUR005001,149084,210,1.4
Göynücek,52,TUR005002,10703,38,3.55
Gümüşhacıköy,53,TUR005003,23734,79,3.32
Hamamözü,54,TUR005004,3955,25,6.32
Merzifon,55,TUR005005,71916,134,1.86
Suluova,56,TUR005006,46608,98,2.1
Taşova,57,TUR005007,31508,106,3.36
Akyurt,58,TUR006001,34588,46,1.32
Altındağ,59,TUR006002,370024,313,.84
Ayaş,60,TUR006003,15540,47,3.02
Bala,61,TUR006004,33644,62,1.84
Beypazarı,62,TUR006005,48274,120,2.48
Çamlıdere,63,TUR006006,15148,95,6.27
Çankaya,64,TUR006007,920890,331,.35
Çubuk,65,TUR006008,89046,141,1.58
Elmadağ,66,TUR006009,45349,49,1.08
Etimesgut,67,TUR006010,570727,130,.22
Evren,68,TUR006011,3606,13,3.6
GölbaşıA,69,TUR006012,134378,96,.71
Güdül,70,TUR006013,10074,34,3.37
Haymana,71,TUR006014,45931,95,2.06
Kazan,72,TUR006015,53522,79,1.47
Kalecik,73,TUR006016,13450,60,4.46
Keçiören,74,TUR006017,909787,265,.29
Kızılcahamam,75,TUR006018,32647,160,4.9
Mamak,76,TUR006019,647252,217,.33
Nallıhan,77,TUR006020,28091,117,4.16
Polatlı,78,TUR006021,122287,154,1.25
Pursaklar,79,TUR006022,143055,64,.44
Sincan,80,TUR006023,34202,140,4.09
Şereflikoçhisar,81,TUR006024,518893,77,.14
Yenimahalle,82,TUR006025,663580,280,.42
Akseki,83,TUR007001,13084,82,6.26
AksuA,84,TUR007002,71643,83,1.15
Alanya,85,TUR007003,312319,373,1.19
KaleA,86,TUR007004,25893,58,2.23
Kemer,87,TUR007005,43226,37,.85
Dosemealti,88,TUR007006,63186,61,.96
Elmali,89,TUR007007,39254,108,2.75
Finike,90,TUR007008,48131,66,1.37
Gazipasa,91,TUR007009,50003,143,2.85
Gundogmus,92,TUR007010,8726,73,8.359999999999999
Ibradi,93,TUR007011,3618,14,3.86
Kas,94,TUR007012,58600,164,2.79
Kepez,95,TUR007013,531619,163,.3
Konyaalti,96,TUR007014,182112,68,.37
Korkuteli,97,TUR007015,55712,155,2.78
Kumluca,98,TUR007016,68610,101,1.47
Manavgat,99,TUR007017,230597,253,1.09
Merkez7,100,TUR007018,495688,147,.29
Serik,101,TUR007019,124335,158,1.27
Ardanuç,102,TUR008001,12056,74,6.13
Arhavi,103,TUR008002,21003,53,2.52
Merkez8,104,TUR008003,35081,84,2.39
Borçka,105,TUR008004,25500,126,4.94
Hopa,106,TUR008005,25775,43,1.66
Kemalpaşa,107,TUR008006,9537,21,2.2
Murgul,108,TUR008007,6658,29,4.35
Şavşat,109,TUR008008,17606,120,6.81
Yusufeli,110,TUR008009,20794,155,7.45
Bozdoğan,111,TUR009001,33843,200,5.9
Buharkent,112,TUR009002,12688,19,1.49
Çine,113,TUR009003,49760,114,2.29
Didim,114,TUR009004,85055,26,.3
Merkez9,115,TUR009005,289248,165,.57
Germencik,116,TUR009006,43913,46,1.04
İncirliova,117,TUR009007,51526,45,.87
Karacasu,118,TUR009008,18706,52,2.77
Karpuzlu,119,TUR009009,11113,45,4.04
Koçarlı,120,TUR009010,23716,74,3.12
Köşk,121,TUR009011,27517,57,2.07
Kuşadası,122,TUR009012,113580,32,.28
Kuyucak,123,TUR009013,26975,53,1.96
Nazilli,124,TUR009014,156748,62,.39
Söke,125,TUR009015,120217,83,.6899999999999999
Sultanhisar,126,TUR009016,20533,32,1.55
Yenipazar,127,TUR009017,12608,39,3.09
Altıeylül,128,TUR010001,181209,157,.86
Ayvalık,129,TUR010002,71063,39,.54
Balya,130,TUR010003,13141,61,4.64
Bandırma,131,TUR010004,154359,90,.58
Bigadiç,132,TUR010005,49887,103,2.06
Burhaniye,133,TUR010006,60799,45,.74
Dursunbey,134,TUR010007,35875,172,4.79
Edremit,135,TUR010008,154487,82,.53
Erdek,136,TUR010009,32963,32,.97
Gömeç,137,TUR010010,13894,17,1.22
Gönen,138,TUR010011,73829,145,1.96
Havran,139,TUR010012,27741,57,2.05
İvrindi,140,TUR010013,32758,93,2.83
Merkez10,141,TUR010014,181013,130,.71
Kepsut,142,TUR010015,23123,83,3.58
Manyas,143,TUR010016,19339,63,3.25
Marmara,144,TUR010017,9870,12,1.21
Savaştepe,145,TUR010018,18243,90,4.93
Sındırgı,146,TUR010019,33924,132,3.89
Susurluk,147,TUR010020,39058,77,1.97
Merkez11,148,TUR011001,81723,95,1.16
Bozöyük,149,TUR011002,74441,91,1.22
Gölpazarı,150,TUR011003,10591,73,6.89
İnhisar,151,TUR011004,2981,19,6.37
Osmaneli,152,TUR011005,20976,45,2.14
Pazaryeri,153,TUR011006,10527,35,3.32
Söğüt,154,TUR011007,19244,42,2.18
YenipazarB,155,TUR011008,2965,30,10.11
Adaklı,156,TUR012001,9315,45,4.83
Merkez12,157,TUR012002,160165,232,1.44
Genç,158,TUR012003,38428,144,3.74
Karlıova,159,TUR012004,29650,77,2.59
Kığı,160,TUR012005,5013,20,3.98
Solhan,161,TUR012006,33618,94,2.79
Yayladere,162,TUR012007,2139,13,6.07
Yedisu,163,TUR012008,2877,7,2.43
Adilcevaz,164,TUR013001,30376,68,2.23
Ahlat,165,TUR013002,40806,67,1.64
Merkez13,166,TUR013003,71501,152,2.12
Guroymak,167,TUR013004,47742,77,1.61
Hizan,168,TUR013005,34186,153,4.47
Mutki,169,TUR013006,32090,95,2.96
Tatvan,170,TUR013007,92695,121,1.3
Merkez14,171,TUR014001,205525,380,1.84
Dortdivan,172,TUR014002,7139,52,7.28
Gerede,173,TUR014003,34277,202,5.89
Goynuk,174,TUR014004,15423,155,10.04
Kibriscik,175,TUR014005,3220,37,11.49
Mengen,176,TUR014006,14355,141,9.82
Mudurnu,177,TUR014007,19327,189,9.77
Seben,178,TUR014008,5250,74,14.09
Yenicaga,179,TUR014009,7294,39,5.34
Aglasun,180,TUR015001,8537,28,3.27
AltinyaylaB,181,TUR015002,5591,12,2.14
Bucak,182,TUR015003,64943,133,2.04
Merkez15,183,TUR015004,113077,144,1.27
Cavdir,184,TUR015005,13077,30,2.29
Celtikci,185,TUR015006,5237,20,3.81
Golhisar,186,TUR015007,22519,52,2.3
Karamanli,187,TUR015008,8006,22,2.74
KemerB,188,TUR015009,3281,15,4.57
Tefenni,189,TUR015010,10201,27,2.64
Yesilova,190,TUR015011,15457,59,3.81
Buyukorhan,191,TUR016001,10042,54,5.37
Gemlık,192,TUR016002,111488,68,.6
Gursu,193,TUR016003,91339,26,.28
Harmancik,194,TUR016004,6576,52,7.9
Inegol,195,TUR016005,268155,191,.71
Iznık,196,TUR016006,43330,74,1.7
Karacabey,197,TUR016007,83115,106,1.27
Keles,198,TUR016008,12355,56,4.53
Mudanya,199,TUR016010,93707,68,.72
M.Kemalpasa,200,TUR016011,100696,163,1.61
Nilufer,201,TUR016012,441299,130,.29
Orhaneli,202,TUR016013,19492,71,3.64
Orhangazi,203,TUR016014,78447,52,.66
Merkez16,204,TUR016015,862516,349,.4
Yenisehir,205,TUR016016,53704,91,1.69
Kestel,206,TUR016017,65256,42,.64
Yildirim,207,TUR016018,653004,193,.29
Ayvacik,208,TUR017001,33568,96,2.85
Bayramic,209,TUR017002,29716,92,3.09
Biga,210,TUR017003,90576,158,1.74
Bozcaada,211,TUR017004,3023,2,.66
Can,212,TUR017005,48215,90,1.86
Merkez17,213,TUR017006,180823,93,.51
Eceabat,214,TUR017007,8912,21,2.35
Ezine,215,TUR017008,32003,69,2.15
Gelibolu,216,TUR017009,44809,43,.95
Gokceada,217,TUR017010,9783,10,1.02
Lapseki,218,TUR017011,27327,57,2.08
Yenice,219,TUR017012,31907,99,3.1
Atkaracalar,220,TUR018001,7213,27,3.74
Bayramoren,221,TUR018002,4258,46,10.8
Merkez18,222,TUR018003,96025,137,1.42
Çerkeş,223,TUR018004,18694,107,5.72
Eldivan,224,TUR018005,7588,27,3.55
Ilgaz,225,TUR018006,14891,120,8.050000000000001
Kızılırmak,226,TUR018007,8220,37,4.5
Korgun,227,TUR018008,5666,24,4.23
Kurşunlu,228,TUR018009,10307,51,4.94
Orta,229,TUR018010,20439,52,2.54
Şabanözü,230,TUR018011,14080,39,2.76
Yapraklı,231,TUR018012,8981,78,8.68
Alaca,232,TUR019001,31460,129,4.1
Bayat,233,TUR019002,16525,84,5.08
Boğazkale,234,TUR019003,4175,17,4.07
Merkez19,235,TUR019004,294807,328,1.11
Dodurga,236,TUR019005,6368,22,3.45
İskilip,237,TUR019006,32546,92,2.82
Kargı,238,TUR019007,15684,118,7.52
Laçin,239,TUR019008,4770,20,4.19
Mecitözü,240,TUR019009,15655,68,4.34
Oğuzlar,241,TUR019010,5483,22,4.01
Ortaköy,242,TUR019011,8696,14,1.6
Osmancık,243,TUR019012,42980,140,3.25
Sungurlu,244,TUR019013,49082,146,2.97
Uğurludağ,245,TUR019014,8252,28,3.39
Acıpayam,246,TUR020001,55648,141,2.53
Babadağ,247,TUR020002,6522,38,5.82
Baklan,248,TUR020003,5654,16,2.82
Bekilli,249,TUR020004,7065,23,3.25
Beyağaç,250,TUR020005,6903,23,3.33
BozkurtD,251,TUR020006,12788,24,1.87
Buldan,252,TUR020007,27241,59,2.16
Çal,253,TUR020008,19259,71,3.68
Çameli,254,TUR020009,18256,73,3.99
Çardak,255,TUR020010,9144,18,1.96
Çivril,256,TUR020011,60429,122,2.01
Güney,257,TUR020012,9975,34,3.4
Honaz,258,TUR020013,33184,35,1.05
Kale,259,TUR020014,20393,60,2.94
Merkez20,260,TUR020015,302213,142,.46
Pamukkale,261,TUR020016,344065,164,.47
Sarayköy,262,TUR020017,30768,43,1.39
Serinhisar,263,TUR020018,14430,27,1.87
Tavas,264,TUR020019,43845,120,2.73
Merkez21,265,TUR021001,388387,154,.39
Bismil,266,TUR021002,117674,223,1.89
Cermik,267,TUR021003,50812,118,2.32
Cinar,268,TUR021004,74207,122,1.64
Cungus,269,TUR021005,11927,47,3.94
Dicle,270,TUR021006,38220,99,2.59
Egil,271,TUR021007,23369,54,2.31
Ergani,272,TUR021008,130105,178,1.36
Hani,273,TUR021009,33100,73,2.2
Hazro,274,TUR021010,16935,57,3.36
Kayapinar,275,TUR021011,362407,110,.3
Kocakoy,276,TUR021012,16679,47,2.81
Kulp,277,TUR021013,36640,144,3.93
Lice,278,TUR021014,26163,95,3.63
Silvan,279,TUR021015,86672,197,2.27
Sur,280,TUR021016,112306,229,2.03
YenisehirD,281,TUR021017,206793,137,.66
Enez,282,TUR022001,10886,21,1.92
Havsa,283,TUR022002,18947,35,1.84
Ipsala,284,TUR022003,27498,31,1.12
Kesan,285,TUR022004,84442,76,.9
Lalapasa,286,TUR022005,6680,27,4.04
Meric,287,TUR022006,14201,26,1.83
Merkez22,288,TUR022007,180327,98,.54
Suloglu,289,TUR022008,7062,12,1.69
Uzunkopru,290,TUR022009,61485,80,1.3
Agin,291,TUR023001,2776,30,10.8
Alacakaya,292,TUR023002,6566,22,3.35
Aricak,293,TUR023003,17028,48,2.81
Baskil,294,TUR023004,20505,88,4.29
Merkez23,295,TUR023005,421726,369,.87
Karakocan,296,TUR023006,28702,94,3.27
Keban,297,TUR023007,8409,39,4.63
Kovancilar,298,TUR023008,38774,109,2.81
Maden,299,TUR023009,16608,71,4.27
Palu,300,TUR023010,23834,76,3.18
Sivrice,301,TUR023011,10710,67,6.25
Cayirli,302,TUR024001,9032,18,1.99
Merkez24,303,TUR024002,157452,186,1.18
Ilic,304,TUR024003,8922,52,5.82
Kemah,305,TUR024004,8167,71,8.69
Kemaliye,306,TUR024005,5555,86,15.48
Otlukbeli,307,TUR024006,2437,11,4.51
Refahiye,308,TUR024007,12456,93,7.46
Tercan,309,TUR024008,17623,47,2.66
Uzumlu,310,TUR024009,14390,24,1.66
Askale,311,TUR025001,23589,65,2.75
Ilica,312,TUR025002,62289,111,1.78
Cat,313,TUR025003,17389,49,2.81
Hinis,314,TUR025004,26865,65,2.41
Horasan,315,TUR025005,39445,107,2.71
Ispir,316,TUR025006,15898,130,8.17
Karacoban,317,TUR025007,23246,40,1.72
Karayazi,318,TUR025008,28502,102,3.57
Koprukoy,319,TUR025009,16178,50,3.09
Narman,320,TUR025010,13381,60,4.48
Oltu,321,TUR025011,30966,108,3.48
Olur,322,TUR025012,6715,59,8.779999999999999
Palandoken,323,TUR025013,168651,79,.46
Pasinler,324,TUR025014,28961,80,2.76
Pazaryolu,325,TUR025015,4501,45,9.99
Senkaya,326,TUR025016,18281,76,4.15
Tekman,327,TUR025017,25969,86,3.31
Tortum,328,TUR025018,17054,100,5.86
Uzundere,329,TUR025019,8744,32,3.65
Merkez25,330,TUR025020,191224,180,.9399999999999999
Alpu,331,TUR026001,11242,42,3.73
Beylikova,332,TUR026002,6953,26,3.73
Cifteler,333,TUR026003,15098,38,2.51
Gunyuzu,334,TUR026004,6127,32,5.22
Han,335,TUR026005,2272,14,6.16
Inonu,336,TUR026006,6797,22,3.23
Mahmudiye,337,TUR026007,7998,21,2.62
Mihalgazi,338,TUR026008,3373,10,2.96
Mihaliccik,339,TUR026009,8526,72,8.44
Merkez26,340,TUR026010,404267,170,.42
Saricakaya,341,TUR026011,5080,17,3.34
Seyitgazi,342,TUR026012,13405,63,4.69
Sivrihisar,343,TUR026013,20746,89,4.28
Tepebasi,344,TUR026014,359303,175,.48
Araban,345,TUR027001,32846,51,1.55
Islahiye,346,TUR027002,67674,93,1.37
Karkamis,347,TUR027003,10436,30,2.87
Nizip,348,TUR027004,142389,141,.99
Nurdagi,349,TUR027005,40151,64,1.59
Oguzeli,350,TUR027006,32653,83,2.54
Merkez27,351,TUR027007,906043,282,.31
Sehitkamil,352,TUR027008,774179,290,.37
Yavuzeli,353,TUR027009,22192,47,2.11
Alucra,354,TUR028001,12250,91,7.42
Bulancak,355,TUR028002,66736,187,2.8
Camoluk,356,TUR028003,9759,55,5.63
Canakci,357,TUR028004,6431,36,5.59
Dereli,358,TUR028005,20405,15,.73
Dogankent,359,TUR028006,6690,35,5.23
Espiye,360,TUR028007,34592,123,3.55
Eynesil,361,TUR028008,13955,48,3.43
Merkez28,362,TUR028009,135920,219,1.61
Gorele,363,TUR028010,33510,147,4.38
Guce,364,TUR028011,7809,40,5.12
Kesap,365,TUR028012,20616,93,4.51
Piraziz,366,TUR028013,14659,62,4.22
Sebinkarahisar,367,TUR028014,21814,138,6.32
Tirebolu,368,TUR028015,32008,131,4.09
Yaglidere,369,TUR028016,16758,95,5.66
Merkez29,370,TUR029001,57269,185,3.23
Kelkit,371,TUR029002,47891,109,2.27
Kose,372,TUR029003,9387,17,1.81
Kurtun,373,TUR029004,14346,89,6.2
Siran,374,TUR029005,20084,71,3.53
Torul,375,TUR029006,13771,88,6.39
Cukurca,376,TUR030001,17216,26,1.51
Merkez30,377,TUR030002,81424,145,1.78
Semdinli,378,TUR030003,45117,89,1.97
Yuksekova,379,TUR030004,119760,177,1.47
Derecik,380,TUR030005,22953,52,2.26
Altinozu,381,TUR031001,61106,80,1.3
Merkez31,382,TUR031002,377793,199,.52
Arsuz,383,TUR031003,90456,38,.42
Belen,384,TUR031004,33540,36,1.07
Defne,385,TUR031005,151017,12,.07
Dortyol,386,TUR031006,123891,88,.71
Erzin,387,TUR031007,41368,41,.99
Hassa,388,TUR031008,56409,79,1.4
Iskenderun,389,TUR031009,248335,126,.5
Kirikhan,390,TUR031010,115196,152,1.31
Kumlu,391,TUR031011,14233,19,1.33
Payas,392,TUR031012,41409,32,.77
Reyhanli,393,TUR031013,98534,83,.84
Samandag,394,TUR031014,121109,20,.16
Yayladagi,395,TUR031015,35460,91,2.56
Aksu,396,TUR032001,4533,25,5.51
Atabey,397,TUR032002,5477,27,4.92
Egridir,398,TUR032003,32436,83,2.55
Gelendost,399,TUR032004,15414,34,2.2
Gonen,400,TUR032005,7364,21,2.85
Merkez32,401,TUR032006,258375,196,.75
Keciborlu,402,TUR032007,14383,36,2.5
Senirkent,403,TUR032008,11811,36,3.04
Sutculer,404,TUR032009,10707,84,7.84
Sarkikaraagac,405,TUR032010,25578,72,2.81
Uluborlu,406,TUR032011,6388,17,2.66
Yalvac,407,TUR032012,46646,105,2.25
Yenisarbademli,408,TUR032013,2300,7,3.04
Akdeniz,409,TUR033001,264618,105,.39
Anamur,410,TUR033002,65920,120,1.82
AydincikM,411,TUR033003,11088,36,3.24
Bozyazi,412,TUR033004,26840,75,2.79
Camliyayla,413,TUR033005,8679,32,3.68
Erdemli,414,TUR033006,140331,189,1.34
Gulnar,415,TUR033007,25865,112,4.33
Mezitli,416,TUR033008,194019,77,.39
Mut,417,TUR033009,62853,189,3
Silifke,418,TUR033010,119303,207,1.73
Tarsus,419,TUR033011,339676,264,.77
Merkez33,420,TUR033012,296582,129,.43
YenisehirM,421,TUR033013,258694,51,.19
Adalar,422,TUR034001,16119,9,.55
Arnavutkoy,423,TUR034002,270549,131,.48
Atasehir,424,TUR034003,416318,71,.17
Avcilar,425,TUR034004,435625,62,.14
Bagcilar,426,TUR034005,734369,92,.12
Bahcelievler,427,TUR034006,594053,71,.11
Bakirkoy,428,TUR034007,222668,37,.16
Basaksehir,429,TUR034008,427835,121,.28
Bayrampasa,430,TUR034009,271073,60,.22
Besiktas,431,TUR034010,181074,42,.23
Beykoz,432,TUR034011,246700,137,.55
Beylikduzu,433,TUR034012,331525,48,.14
Beyoglu,434,TUR034013,230526,100,.43
Buyukcekmece,435,TUR034014,247736,64,.25
Catalca,436,TUR034015,72966,64,.87
Cekmekoy,437,TUR034016,251937,46,.18
Esenler,438,TUR034017,444561,49,.11
Esenyurt,439,TUR034018,891120,85,.09
Eyup,440,TUR034019,383909,125,.32
Fatih,441,TUR034020,436539,350,.8
Gaziosmanpasa,442,TUR034021,487046,77,.15
Gungoren,443,TUR034022,289331,47,.16
Kadikoy,444,TUR034023,458638,68,.14
Kagithane,445,TUR034024,437026,82,.18
Kartal,446,TUR034025,461155,83,.17
Kucukcekmece,447,TUR034026,770317,100,.12
Maltepe,448,TUR034027,497034,83,.16
Pendik,449,TUR034028,693599,146,.21
Sancaktepe,450,TUR034029,414143,73,.17
Sariyer,451,TUR034030,342503,115,.33
Silivri,452,TUR034031,187621,62,.33
Sultanbeyli,453,TUR034032,327798,114,.34
Sultangazi,454,TUR034033,523765,69,.13
Sile,455,TUR034034,36516,107,2.93
Sisli,456,TUR034035,274289,57,.2
Tuzla,457,TUR034036,255468,73,.28
Umraniye,458,TUR034037,690193,148,.21
Uskudar,459,TUR034038,529145,196,.37
Zeytinburnu,460,TUR034039,284935,83,.29
Aliaga,461,TUR035001,95392,56,.58
Balcova,462,TUR035002,79357,14,.17
Bayindir,463,TUR035003,40584,73,1.79
Bayrakli,464,TUR035004,311524,64,.2
Bergama,465,TUR035005,103185,171,1.65
Beydag,466,TUR035006,12507,38,3.03
Bornova,467,TUR035007,445232,108,.24
Buca,468,TUR035008,499325,93,.18
Cesme,469,TUR035009,43489,25,.57
Cigli,470,TUR035010,194525,36,.18
Dikili,471,TUR035011,44172,41,.92
Foca,472,TUR035012,33131,15,.45
Gaziemir,473,TUR035013,137553,29,.21
Guzelbahce,474,TUR035014,32592,10,.3
Karabaglar,475,TUR035015,479986,85,.17
Karaburun,476,TUR035016,10603,26,2.45
Karsiyaka,477,TUR035017,344140,36,.1
Kemalpasa,478,TUR035018,106298,71,.66
Kinik,479,TUR035019,29803,51,1.71
Kiraz,480,TUR035020,43989,98,2.22
Merkez35,481,TUR035021,356563,153,.42
Menderes,482,TUR035022,93796,66,.7
Menemen,483,TUR035023,174564,73,.41
Narlidere,484,TUR035024,66203,10,.15
Odemis,485,TUR035025,132511,180,1.35
Seferihisar,486,TUR035026,43546,27,.62
Selcuk,487,TUR035027,36360,25,.68
Tire,488,TUR035028,84457,128,1.51
Torbali,489,TUR035029,178772,74,.41
